,City,Lat,Long,temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,puerto colombia,10.9878,-74.9547,87.89,67,100,11.83,CO,1628440662
335,arrigorriaga,43.2101,-2.8856,71.06,52,40,1.01,ES,1628440852
336,berdigestyakh,62.0989,126.6992,57.54,69,36,5.95,RU,1628440409
337,port-cartier,50.0334,-66.8654,65.1,43,10,6.98,CA,1628440855
338,saldanha,-33.0117,17.9442,57.25,82,100,17.31,ZA,1628440571
339,smithers,54.7804,-127.1743,53.92,82,20,0.0,CA,1628440408
340,moses lake,47.1301,-119.2781,60.49,59,90,18.41,US,1628440636
341,nome,64.5011,-165.4064,51.87,72,90,8.05,US,1628440754
342,colares,38.7992,-9.4469,74.05,40,20,24.16,PT,1628440864
343,chake chake,-5.2459,39.7666,73.24,80,14,9.28,TZ,1628440865
344,balakhninskiy,58.0106,114.2769,57.83,98,94,0.34,RU,1628440867
345,port lincoln,-34.7333,135.8667,54.86,63,62,10.38,AU,1628440547
346,qaqortoq,60.7167,-46.0333,50.5,76,9,17.98,GL,1628440869
347,jasper,37.2001,-94.3502,80.06,85,40,3.0,US,1628440870
348,beira,-19.8436,34.8389,68.09,77,0,4.61,MZ,1628440682
349,buala,-8.145,159.5921,77.92,80,91,1.07,SB,1628440600
350,hofn,64.2539,-15.2082,64.42,59,20,5.75,IS,1628440874
351,port moresby,-9.4431,147.1797,76.42,83,40,11.5,PG,1628440875
352,faya,18.3851,42.4509,73.92,67,79,6.8,SA,1628440314
353,walvis bay,-22.9575,14.5053,63.55,63,6,12.66,NA,1628440394
354,bilibino,68.0546,166.4372,43.83,58,77,3.78,RU,1628440606
355,thai binh,20.45,106.3333,87.8,80,99,6.26,VN,1628440720
356,solnechnyy,50.7214,136.6319,49.08,100,100,4.29,RU,1628440886
357,zhigalovo,54.8097,105.1578,53.15,70,32,1.68,RU,1628440582
358,sur,22.5667,59.5289,90.45,56,0,9.57,OM,1628440481
359,tahe,52.3333,124.7333,53.89,99,100,4.81,CN,1628440889
360,beloha,-25.1667,45.05,64.74,78,0,6.49,MG,1628440892
361,cockburn town,21.4612,-71.1419,85.96,66,40,16.11,TC,1628440634
362,huilong,31.8111,121.655,78.98,80,10,4.41,CN,1628440894
363,haapiti,-17.5667,-149.8667,73.13,75,78,7.54,PF,1628440611
364,kenai,60.5544,-151.2583,52.93,93,90,12.66,US,1628440337
